seed,range,num_data,packets
14,100,5,546
14,150,5,532
14,200,5,522
14,250,5,516
14,300,5,514
14,100,10,1100
14,150,10,1066
14,200,10,1048
14,250,10,1036
14,300,10,1030
14,100,15,1644
14,150,15,1594
14,200,15,1568
14,250,15,1554
14,300,15,1544
14,100,20,2182
14,150,20,2120
14,200,20,2088
14,250,20,2072
14,300,20,2056
14,100,25,2722
14,150,25,2648
14,200,25,2606
14,250,25,2590
14,300,25,2570
14,100,30,3258
14,150,30,3174
14,200,30,3126
14,250,30,3106
14,300,30,3084
14,100,35,3790
14,150,35,3696
14,200,35,3642
14,250,35,3620
14,300,35,3596
14,100,40,4324
14,150,40,4218
14,200,40,4160
14,250,40,4134
14,300,40,4108
14,100,45,4868
14,150,45,4746
14,200,45,4682
14,250,45,4652
14,300,45,4622
14,100,50,5404
14,150,50,5266
14,200,50,5198
14,250,50,5168
14,300,50,5136
14,100,55,5950
14,150,55,5792
14,200,55,5718
14,250,55,5686
14,300,55,5650
14,100,60,6494
14,150,60,6318
14,200,60,6240
14,250,60,6202
14,300,60,6164
14,100,65,7034
14,150,65,6844
14,200,65,6760
14,250,65,6718
14,300,65,6678
14,100,70,7574
14,150,70,7372
14,200,70,7280
14,250,70,7236
14,300,70,7194
14,100,75,8114
14,150,75,7900
14,200,75,7800
14,250,75,7752
14,300,75,7708
14,100,80,8662
14,150,80,8430
14,200,80,8326
14,250,80,8270
14,300,80,8224
14,100,85,9204
14,150,85,8956
14,200,85,8844
14,250,85,8788
14,300,85,8738
14,100,90,9748
14,150,90,9484
14,200,90,9364
14,250,90,9306
14,300,90,9254
14,100,95,10306
14,150,95,10022
14,200,95,9888
14,250,95,9828
14,300,95,9772
14,100,100,10848
14,150,100,10548
14,200,100,10408
14,250,100,10344
14,300,100,10286
