seed,range,num_data,packets
13,100,5,833
13,100,10,890
13,100,15,948
13,100,20,992
13,100,25,1043
13,100,30,1122
13,100,35,1200
13,100,40,1206
13,100,45,1275
13,100,50,1347
13,100,55,1429
13,100,60,1466
13,100,65,1532
13,100,70,1636
13,100,75,1634
13,100,80,1722
13,100,85,1836
13,100,90,1957
13,100,95,1931
13,100,100,1973
13,150,5,622
13,150,10,658
13,150,15,700
13,150,20,731
13,150,25,756
13,150,30,802
13,150,35,837
13,150,40,863
13,150,45,905
13,150,50,960
13,150,55,985
13,150,60,1053
13,150,65,1088
13,150,70,1131
13,150,75,1151
13,150,80,1205
13,150,85,1231
13,150,90,1269
13,150,95,1326
13,150,100,1351
13,200,5,486
13,200,10,516
13,200,15,547
13,200,20,577
13,200,25,594
13,200,30,635
13,200,35,650
13,200,40,684
13,200,45,711
13,200,50,749
13,200,55,773
13,200,60,804
13,200,65,873
13,200,70,858
13,200,75,897
13,200,80,920
13,200,85,950
13,200,90,978
13,200,95,1015
13,200,100,1038
13,250,5,444
13,250,10,464
13,250,15,492
13,250,20,521
13,250,25,531
13,250,30,563
13,250,35,594
13,250,40,610
13,250,45,628
13,250,50,665
13,250,55,690
13,250,60,706
13,250,65,740
13,250,70,767
13,250,75,774
13,250,80,817
13,250,85,825
13,250,90,847
13,250,95,874
13,250,100,899
13,300,5,413
13,300,10,433
13,300,15,453
13,300,20,471
13,300,25,484
13,300,30,505
13,300,35,522
13,300,40,547
13,300,45,565
13,300,50,583
13,300,55,612
13,300,60,629
13,300,65,652
13,300,70,663
13,300,75,674
13,300,80,702
13,300,85,719
13,300,90,747
13,300,95,763
13,300,100,770
